Lambda,Rho,Avg_Queue_Length_Sim,Avg_Queue_Length_Theory,Relative_Error
0.1,0.1,0.111323,0.111111,0.190733
0.15,0.15,0.175855,0.176471,0.348557
0.2,0.2,0.249581,0.25,0.167474
0.25,0.25,0.332851,0.333333,0.144553
0.3,0.3,0.428989,0.428571,0.0974826
0.35,0.35,0.54031,0.538462,0.343265
0.4,0.4,0.65954,0.666667,1.06899
0.45,0.45,0.814132,0.818182,0.495035
0.5,0.5,0.982474,1,1.7526
0.55,0.55,1.20617,1.22222,1.31308
0.6,0.6,1.4693,1.5,2.04685
0.65,0.65,1.85584,1.85714,0.0702161
0.7,0.7,2.32515,2.33333,0.350858
0.75,0.75,2.99602,3,0.132716
0.8,0.8,4.03548,4,0.887013
0.85,0.85,5.71529,5.66667,0.858027
0.9,0.9,8.88976,9,1.2249
0.92,0.92,11.1875,11.5,2.71704
0.94,0.94,16.3845,15.6667,4.58223
0.95,0.95,15.6963,19,17.3878
0.96,0.96,22.1019,24,7.90879
0.97,0.97,22.6586,32.3333,29.9217
0.98,0.98,24.5234,49,49.9522
0.99,0.99,34.9768,99,64.6699
